dataset,source_file,row_number_source,record_id,field,error_type,current_value,fixed_value,expected_rule
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,3,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,7,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,9,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,9,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,12,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,12,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,17,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,19,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,21,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,23,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,28,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,29,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,30,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,31,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,31,,housing,missing_value,unknown,yes,"housing должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,31,,job,missing_value,unknown,admin.,"job должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,31,,loan,missing_value,unknown,no,"loan должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,32,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,33,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,34,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,35,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,37,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,37,,job,missing_value,unknown,admin.,"job должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,42,,marital,missing_value,unknown,married,"marital должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,46,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,47,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,56,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,57,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,58,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,59,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,60,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,62,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,64,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,65,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,69,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,71,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,74,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,75,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,75,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,75,,job,missing_value,unknown,admin.,"job должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,76,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,77,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,79,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,80,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,80,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,81,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,82,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,83,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,83,,housing,missing_value,unknown,yes,"housing должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,83,,loan,missing_value,unknown,no,"loan должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,84,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,85,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,93,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,93,,education,missing_value,unknown,university.degree,"education должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,93,,job,missing_value,unknown,admin.,"job должно содержать валидную категорию, не 'unknown'"
bank_marketing_additional,bank-marketing/bank-additional/bank-additional/bank-additional-full.csv,94,,default,missing_value,unknown,no,"default должно содержать валидную категорию, не 'unknown'"
